,date,SF5
0,2009-01-01,
1,2009-02-01,
2,2009-03-01,
3,2009-04-01,
4,2009-05-01,
5,2009-06-01,4.0
6,2009-07-01,1.0
7,2009-08-01,4.0
8,2009-09-01,11.0
9,2009-10-01,7.0
10,2009-11-01,18.0
11,2009-12-01,13.0
12,2010-01-01,6.0
13,2010-02-01,9.0
14,2010-03-01,7.0
15,2010-04-01,2.0
16,2010-05-01,5.0
17,2010-06-01,5.0
18,2010-07-01,3.0
19,2010-08-01,2.0
20,2010-09-01,2.0
21,2010-10-01,5.0
22,2010-11-01,5.0
23,2010-12-01,9.0
24,2011-01-01,4.0
25,2011-02-01,6.0
26,2011-03-01,3.0
27,2011-04-01,3.0
28,2011-05-01,9.0
29,2011-06-01,2.0
30,2011-07-01,2.0
31,2011-08-01,5.0
32,2011-09-01,6.0
33,2011-10-01,11.0
34,2011-11-01,5.0
35,2011-12-01,6.0
36,2012-01-01,5.0
37,2012-02-01,4.0
38,2012-03-01,3.0
39,2012-05-01,4.0
40,2012-06-01,2.0
41,2012-07-01,2.0
42,2012-08-01,6.0
43,2012-09-01,5.0
44,2012-10-01,4.0
45,2012-11-01,5.0
46,2012-12-01,12.0
47,2013-01-01,16.0
48,2013-02-01,7.0
49,2013-03-01,11.0
50,2013-04-01,9.0
51,2013-05-01,6.0
52,2013-06-01,2.0
53,2013-07-01,5.0
54,2013-08-01,8.0
55,2013-09-01,8.0
56,2013-10-01,13.0
57,2013-11-01,7.0
58,2013-12-01,13.0
59,2014-01-01,4.0
60,2014-02-01,8.0
61,2014-03-01,8.0
62,2014-04-01,9.0
63,2014-05-01,9.0
64,2014-06-01,8.0
65,2014-07-01,9.0
66,2014-08-01,3.0
67,2014-09-01,9.0
68,2014-10-01,22.0
69,2014-11-01,16.0
70,2014-12-01,9.0
71,2015-01-01,17.0
72,2015-02-01,11.0
73,2015-03-01,6.0
74,2015-04-01,1.0
75,2015-05-01,1.0
76,2015-06-01,1.0
77,2015-07-01,3.0
78,2015-08-01,5.0
79,2015-09-01,2.0
80,2015-10-01,4.0
81,2015-11-01,11.0
82,2015-12-01,6.0
83,2016-02-01,1.0
84,2016-03-01,3.0
85,2016-04-01,1.0
86,2016-05-01,5.0
87,2016-06-01,2.0
88,2016-07-01,1.0
89,2016-08-01,1.0
90,2016-09-01,3.0
91,2016-10-01,6.0
92,2016-11-01,4.0
93,2016-12-01,7.0
94,2017-01-01,10.0
95,2017-02-01,6.0
96,2017-03-01,4.0
97,2017-04-01,3.0
98,2017-05-01,2.0
99,2017-06-01,6.0
100,2017-07-01,2.0
101,2017-08-01,4.0
102,2017-09-01,3.0
103,2017-10-01,6.0
104,2017-11-01,3.0
105,2017-12-01,4.0
