,max_temp,min_temp,count
0,26.925,11.8625,4
1,15.850000000000001,11.5,1
2,24.7125,13.3125,4
3,26.43636363636364,13.613636363636363,11
4,21.604761904761904,9.590476190476192,7
5,22.053703703703704,10.390740740740739,18
6,21.806410256410256,9.294871794871794,13
7,19.450000000000003,11.158333333333331,6
8,21.037037037037035,9.762962962962963,9
9,25.796428571428574,12.714285714285714,7
10,32.3,9.3,2
11,21.54,14.779999999999998,5
12,24.639999999999997,11.179999999999998,5
13,23.03333333333333,12.733333333333334,3
14,25.7,12.95,2
15,21.35,13.100000000000001,2
16,17.74,11.1,5
17,19.520000000000003,8.98,5
18,17.155555555555555,7.644444444444444,9
19,16.325,7.675000000000001,4
20,20.716666666666665,9.216666666666667,6
21,18.933333333333334,10.700000000000001,3
22,18.75,10.1,2
23,20.833333333333332,12.488888888888889,9
24,22.85,15.450000000000001,2
25,28.15,16.6,2
26,23.640000000000004,12.02,5
27,21.650000000000002,12.816666666666668,6
28,20.245454545454546,10.863636363636363,11
29,17.36,10.98,5
30,17.333333333333332,8.783333333333333,6
31,18.46,8.58,5
32,19.875,8.2,4
33,18.366666666666664,10.666666666666666,3
34,21.925,8.6,4
35,20.0,14.95,2
36,27.799999999999997,16.15,2
37,23.650000000000002,12.100000000000001,6
38,22.62,14.98,5
39,23.975,10.700000000000001,4
40,17.779999999999998,8.16,5
41,17.691666666666663,8.091666666666667,12
42,19.193749999999998,8.44375,16
43,19.357142857142858,6.2,7
44,20.672727272727276,11.372727272727273,11
45,21.48888888888889,11.766666666666666,9
46,24.816666666666666,14.300000000000002,6
47,24.9,12.149999999999999,2
48,22.119999999999997,11.440000000000001,5
49,21.933333333333334,12.322222222222221,9
50,20.925,12.562499999999998,8
51,22.76153846153846,7.661538461538462,13
52,19.32857142857143,10.185714285714287,7
53,19.32307692307692,10.915384615384616,13
54,18.725,10.925,4
55,18.487499999999997,6.862500000000001,8
56,24.025,14.175,8
57,22.3,12.411111111111111,9
58,22.599999999999998,12.966666666666667,9
59,25.1875,13.675,8
60,24.03333333333334,13.533333333333333,9
61,21.2,12.025,4
62,23.066666666666666,10.177777777777779,9
63,20.97272727272727,11.663636363636364,22
64,16.9375,9.231249999999998,16
65,20.444444444444443,12.166666666666666,9
66,19.264705882352942,10.029411764705882,17
67,22.49090909090909,10.290909090909093,11
68,20.6,9.516666666666667,6
69,19.4,8.0,1
70,30.3,12.7,1
71,27.7,17.1,1
72,22.833333333333332,12.066666666666668,3
73,22.94,11.2,5
74,19.5,11.3,2
75,19.225,9.0,4
76,17.327272727272728,6.036363636363635,11
77,16.814285714285717,9.014285714285714,7
78,18.8,4.8,1
79,21.333333333333332,10.666666666666666,3
80,20.1,5.0,1
81,21.76,12.379999999999999,5
82,36.8,16.4,1
83,19.4,11.7,1
84,24.3,12.7,1
85,18.933333333333334,11.0,3
86,19.43333333333333,11.483333333333334,6
87,15.775,8.975,4
88,17.12857142857143,6.942857142857142,7
89,18.96,9.639999999999999,10
90,19.200000000000003,9.15,6
91,20.1,5.9,4
92,19.833333333333332,10.866666666666667,3
93,24.8,7.0,1
94,25.483333333333334,11.533333333333331,6
95,22.1,10.9,2
96,21.724999999999998,7.7,4
97,19.766666666666666,10.433333333333334,3
98,21.266666666666666,11.25,6
99,18.025,7.775,4
100,16.625,8.675,4
101,17.6875,9.862499999999999,8
102,22.174999999999997,7.675,4
103,17.950000000000003,5.35,2
104,26.975,12.225000000000001,4
105,19.85,5.95,2
